,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
1,0.16094710334227053,0.09879806752171844,0.6656150214728622,0.8723815408334841,0.6652021610935286,0.8723217810800179
2,0.15613407757480915,0.10015835707875174,0.6927648274336449,0.8679449347874061,0.6927645104615172,0.8679128845521105
3,0.15817151190787376,0.10038304306404636,0.6745998453928694,0.8683834835665288,0.6745969804148078,0.868334879334515
4,0.16210738126766858,0.09894136266282882,0.6584161959888268,0.8723534328965352,0.6567908145359937,0.8722254068586264
0,0.156247125100751,0.10039655005367427,0.664012625313503,0.8701817933704806,0.6640082519700226,0.8701271630371125
1,0.1609566182991423,0.09876868213996122,0.665569754665043,0.8724581066755299,0.665162574408271,0.8723977201209676
2,0.15609873915667374,0.1001396469877102,0.6929038734635413,0.8679952078220619,0.6929035702707081,0.8679622290341091
3,0.15820934415824303,0.10036313447480065,0.6744448236630669,0.8684353522639552,0.6744412987673346,0.8683870994464452
4,0.16208863736057372,0.09893069128111699,0.6584993824878972,0.8723834258571204,0.6568701780926542,0.8722529677873931
0,0.1561762897584502,0.10039011259308453,0.6643178887657322,0.8701989340830228,0.6643128296770002,0.8701438174832112
1,0.16092543701715295,0.09875116445687891,0.6657112564050627,0.872505177990153,0.6652922944408002,0.8724429793676075
2,0.1560921001812929,0.10012289323574902,0.6929299587983132,0.8680387423460747,0.6929296917152721,0.8680064062023337
3,0.15818110506537586,0.10032258184420803,0.6745614253624941,0.8685433809316987,0.6745575076039931,0.8684934367202541
4,0.16213800105087636,0.09892014644664242,0.6582636298538549,0.8724098333255412,0.6566611476044668,0.8722801989630975
0,0.1561837320788004,0.10038874102671581,0.6642854305970651,0.8702037364944375,0.6642808356913725,0.8701473657441192
1,0.16093226214758535,0.09874070143665739,0.665679955879662,0.872532187271184,0.6652639027553995,0.8724700081320629
2,0.15620294334713952,0.10012384875120373,0.6924936695459807,0.8680374524507587,0.6924934270995078,0.8680038868480375
3,0.15820594278765893,0.1003257162179776,0.6744593634485037,0.8685350575014106,0.6744552971046913,0.8684852192849783
4,0.1621517725091403,0.0989200027940285,0.6582109997453331,0.8724103423979181,0.6566028210252874,0.8722805699142253
0,0.1563277625570057,0.10034765644700795,0.6636674897279906,0.8703077458715908,0.6636613590437952,0.8702536296373123
1,0.16100437791843578,0.09874492668994096,0.6653582238616862,0.8725179118800761,0.6649638366278843,0.8724590935236379
2,0.1561213939502581,0.10011268421666705,0.6928146801625004,0.8680654362151173,0.6928144252703403,0.8680333222526817
3,0.1581765248916062,0.1003198017304164,0.6745822478386365,0.8685510271557677,0.6745763538699423,0.8685007251719226
4,0.16224471191233344,0.0989063043966173,0.6577530379034339,0.8724391871406312,0.6562090630704492,0.8723159405232525
0,0.15653556178510245,0.10028342221050898,0.662774788804485,0.8704742067030509,0.6627666061196211,0.8704196821773613
1,0.16098369453358544,0.09869361080343536,0.6654440173094595,0.8726509634304482,0.6650499117630516,0.8725916203131467
2,0.1561640770596047,0.1000778268776852,0.6926466387171988,0.8681562787613124,0.6926464351251783,0.8681252028458128
3,0.15817317290572078,0.10027277048868846,0.6745960850922217,0.8686730179815189,0.6745901461050593,0.8686239934473776
4,0.16222229992405818,0.0988595975543864,0.6578414229339755,0.8725591887557713,0.656304036967368,0.8724365053573062
0,0.15641596664758303,0.10025869784722405,0.6632910377606156,0.8705395379360499,0.6632817103781145,0.8704835690261089
1,0.1608402822553713,0.09865790639662775,0.6660542850333928,0.8727406507739311,0.665646426322774,0.8726837887469158
